"filename", "language", "TypeScript", "JSON with Comments", "JSON", "TypeScript JSX", "Properties", "JavaScript", "Gradle", "XML", "Batch", "comment", "blank", "total"
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\.env", "Properties", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 86, 0, 0, 67, 24, 177
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 34
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\main\res\drawable\rn_edit_text_material.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 23, 3, 37
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\main\res\drawable\splashscreen.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\main\res\values-night\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 17
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 32, 0, 0, 3, 6, 41
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\gradle.properties", "Properties", 0, 0, 0, 0, 11, 0, 0, 0, 0, 33, 13, 57
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 41, 29, 22, 92
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 5, 19
"c:\Users\Eimantas\Desktop\New folder (4)\fintech\app.json", "JSON", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 1, 53
