Date : 2024-05-03 10:25:04
Directory : c:\Users\Eimantas\Desktop\New folder (4)\fintech
Total : 67 files,  28619 codes, 215 comments, 383 blanks, all 29217 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     24,752 |          0 |          3 |     24,755 |
| TypeScript JSX     |         25 |      2,318 |         30 |        247 |      2,595 |
| TypeScript         |         19 |      1,232 |         30 |         50 |      1,312 |
| Gradle             |          3 |        132 |         70 |         35 |        237 |
| XML                |         10 |         93 |         23 |          6 |        122 |
| Batch              |          1 |         41 |         29 |         22 |         92 |
| Properties         |          3 |         20 |         33 |         14 |         67 |
| JSON with Comments |          1 |         17 |          0 |          1 |         18 |
| JavaScript         |          2 |         14 |          0 |          5 |         19 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |         67 |     28,619 |        215 |        383 |     29,217 |
| . (Files)                                                                                                         |          6 |     24,778 |          0 |          5 |     24,783 |
| android                                                                                                           |         16 |        284 |        155 |         77 |        516 |
| android (Files)                                                                                                   |          4 |         98 |         65 |         46 |        209 |
| android\app                                                                                                       |         11 |        179 |         90 |         30 |        299 |
| android\app (Files)                                                                                               |          1 |         86 |         67 |         24 |        177 |
| android\app\src                                                                                                   |         10 |         93 |         23 |          6 |        122 |
| android\app\src\debug                                                                                             |          1 |          5 |          0 |          3 |          8 |
| android\app\src\main                                                                                              |          9 |         88 |         23 |          3 |        114 |
| android\app\src\main (Files)                                                                                      |          1 |         34 |          0 |          0 |         34 |
| android\app\src\main\res                                                                                          |          8 |         54 |         23 |          3 |         80 |
| android\app\src\main\res\drawable                                                                                 |          2 |         14 |         23 |          3 |         40 |
| android\app\src\main\res\mipmap-anydpi-v26                                                                        |          2 |         10 |          0 |          0 |         10 |
| android\app\src\main\res\values                                                                                   |          3 |         29 |          0 |          0 |         29 |
| android\app\src\main\res\values-night                                                                             |          1 |          1 |          0 |          0 |          1 |
| android\gradle                                                                                                    |          1 |          7 |          0 |          1 |          8 |
| android\gradle\wrapper                                                                                            |          1 |          7 |          0 |          1 |          8 |
| app                                                                                                               |         26 |      3,091 |         37 |        235 |      3,363 |
| app (Files)                                                                                                       |          9 |      1,001 |         13 |        118 |      1,132 |
| app\api                                                                                                           |          3 |        934 |         14 |          9 |        957 |
| app\authentication                                                                                                |          7 |        800 |          9 |         73 |        882 |
| app\authentication\(modals)                                                                                       |          1 |        169 |          0 |         15 |        184 |
| app\authentication\(tabs)                                                                                         |          5 |        405 |          8 |         47 |        460 |
| app\authentication\crypto                                                                                         |          1 |        226 |          1 |         11 |        238 |
| app\context                                                                                                       |          1 |         37 |          0 |          9 |         46 |
| app\models                                                                                                        |          3 |         34 |          0 |          3 |         37 |
| app\services                                                                                                      |          1 |         16 |          0 |          7 |         23 |
| app\verificationEmail                                                                                             |          1 |        136 |          1 |          8 |        145 |
| app\verificationPhone                                                                                             |          1 |        133 |          0 |          8 |        141 |
| components                                                                                                        |         13 |        272 |         23 |         56 |        351 |
| components (Files)                                                                                                |         10 |        226 |         15 |         37 |        278 |
| components\__tests__                                                                                              |          1 |          7 |          0 |          4 |         11 |
| components\utils                                                                                                  |          2 |         39 |          8 |         15 |         62 |
| constants                                                                                                         |          2 |         86 |          0 |          1 |         87 |
| interfaces                                                                                                        |          1 |         45 |          0 |          3 |         48 |
| store                                                                                                             |          2 |         50 |          0 |          5 |         55 |
| web3                                                                                                              |          1 |         13 |          0 |          1 |         14 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                          | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Eimantas\Desktop\New folder (4)\fintech\.env                                                             | Properties         |          2 |          0 |          0 |          2 |
| c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\build.gradle                                         | Gradle             |         86 |         67 |         24 |        177 |
| c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\debug\AndroidManifest.xml                        | XML                |          5 |          0 |          3 |          8 |
| c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\main\AndroidManifest.xml                         | XML                |         34 |          0 |          0 |         34 |
| c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\main\res\drawable\rn_edit_text_material.xml      | XML                |         11 |         23 |          3 |         37 |
| c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\main\res\drawable\splashscreen.xml               | XML                |          3 |          0 |          0 |          3 |
| c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml       | XML                |          5 |          0 |          0 |          5 |
| c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml | XML                |          5 |          0 |          0 |          5 |
| c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\main\res\values-night\colors.xml                 | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\main\res\values\colors.xml                       | XML                |          6 |          0 |          0 |          6 |
| c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\main\res\values\strings.xml                      | XML                |          6 |          0 |          0 |          6 |
| c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\app\src\main\res\values\styles.xml                       | XML                |         17 |          0 |          0 |         17 |
| c:\Users\Eimantas\Desktop\New folder (4)\fintech\android\build.gradle                                             | Gradle             |         32 |          3 |          6 |         41 |
